آشوبشان	V$آشوبید+IMP 2SG PRO3PL*آشوفت+IMP 2SG PRO3PL*آشفت+IMP 2SG PRO3PL
آشوبی	V$آشوبید+IND PRES 2SG*آشوفت+IND PRES 2SG*آشفت+IND PRES 2SG
آشوفت	V$آشوفت+IND PAST 3SG
آشوفتست	V$آشوفت+IND 3SG PERF
آشوفتن	V$آشوفت+INF
آشوفتند	V$آشوفت+IND PAST 3PL
آشوفته	V$آشوفت+PP
آشوفتی	V$آشوفت+SUB IRRP 3SG#IND PAST 2SG
آشکوخد	V$آشکوخید+IND PRES 3SG
آشکوخیده	V$آشکوخید+PP
آغار	V$آغارد+IMP 2SG*آغارید+IMP 2SG*آغشت+IMP 2SG
آغارم	V$آغارد+IMP 2SG PRO1SG#IND PRES 1SG*آغارید+IMP 2SG PRO1SG#IND PRES 1SG*آغشت+IMP 2SG PRO1SG#IND PRES 1SG
آغاز	V$آغازید+IMP 2SG
آغازتان	V$آغازید+IMP 2SG PRO2PL
آغازد	V$آغازید+IND PRES 3SG
آغازش	V$آغازید+IMP 2SG PRO3SG
آغازشان	V$آغازید+IMP 2SG PRO3PL
آغازم	V$آغازید+IMP 2SG PRO1SG#IND PRES 1SG
آغازی	V$آغازید+IND PRES 2SG
آغازید	V$آغازید+IND PRES 2PL#IND PAST 3SG#IMP 2PL
آغازیده‌ام	V$آغازید+IND 1SG PERF#PP PRO1SG
آغازیم	V$آغازید+IND PRES 1PL
آغشته	V$آغشت+PP
آغشته‌ئی	V$آغشت+IND 2SG PERF
آغشته‌ام	V$آغشت+IND 1SG PERF#PP PRO1SG
آغشته‌اند	V$آغشت+IND 3PL PERF
آغشته‌ای	V$آغشت+IND 2SG PERF
آغشته‌ایم	V$آغشت+IND 1PL PERF
آغشته‌ست	V$آغشت+IND 3SG PERF
آغشتی	V$آغشت+SUB IRRP 3SG#IND PAST 2SG
آغشتیی	V$آغشت+SUB IRRP 2SG
آغوش	V$آغوشید+IMP 2SG
آغوشت	V$آغوشید+IMP 2SG PRO2SG
آغوشش	V$آغوشید+IMP 2SG PRO3SG
آغوششان	V$آغوشید+IMP 2SG PRO3PL
آغوشم	V$آغوشید+IMP 2SG PRO1SG#IND PRES 1SG
آغوشند	V$آغوشید+IND PRES 3PL
آغوشی	V$آغوشید+IND PRES 2SG
آفرید	V$آفرید+IND PAST 3SG*آفرین+IMP 2SG
آفریدت	V$آفرید+IND PAST 3SG PRO2SG*آفرین+IMP 2SG PRO2SG
آفریدست	V$آفرید+IND 3SG PERF
آفریدستم	V$آفرید+IND 3SG PERF PRO1SG#IND 1SG PERF2
آفریدستند	V$آفرید+IND 3PL PERF2
آفریدستی	V$آفرید+IND 2SG PERF2
آفریدش	V$آفرید+IND PAST 3SG PRO3SG*آفرین+IMP 2SG PRO3SG
آفریدم	V$آفرید+IND PAST 3SG PRO1SG#IND PAST 1SG*آفرین+IMP 2SG PRO1SG#IND PRES 1SG
آفریدن	V$آفرید+INF
آفریدند	V$آفرید+IND PAST 3PL*آفرین+IND PRES 3PL
آفریدندت	V$آفرید+IND PAST 3PL PRO2SG*آفرین+IND PRES 3PL PRO2SG
آفریدنش	V$آفرید+INF PRO3SG
آفریده	V$آفرید+PP
آفریده‌ام	V$آفرید+IND 1SG PERF#PP PRO1SG
آفریده‌اند	V$آفرید+IND 3PL PERF
آفریده‌ای	V$آفرید+IND 2SG PERF
آفریده‌ست	V$آفرید+IND 3SG PERF
آفریده‌ستت	V$آفرید+IND 3SG PERF PRO2SG
آفریدی	V$آفرید+SUB IRRP 3SG#IND PAST 2SG*آفرین+IND PRES 2SG
آفرین	V$آفرید+IMP 2SG*آفرین+IND PAST 3SG
آفریناد	V$آفرید+SUB PRES 3SG
آفرینت	V$آفرید+IMP 2SG PRO2SG*آفرین+IND PAST 3SG PRO2SG
آفریند	V$آفرید+IND PRES 3SG
آفرینست	V$آفرین+IND 3SG PERF
آفرینش	V$آفرید+IMP 2SG PRO3SG*آفرین+IND PAST 3SG PRO3SG
آفرینم	V$آفرید+IMP 2SG PRO1SG#IND PRES 1SG*آفرین+IND PAST 3SG PRO1SG#IND PAST 1SG
آفرینند	V$آفرید+IND PRES 3PL*آفرین+IND PAST 3PL
آفریننش	V$آفرین+INF PRO3SG
آفرینی	V$آفرید+IND PRES 2SG*آفرین+SUB IRRP 3SG#IND PAST 2SG
آفرینیم	V$آفرید+IND PRES 1PL*آفرین+IND PAST 1PL
آفند	V$آفندید+IMP 2SG
آفندی	V$آفندید+IND PRES 2SG
آلا	V$آلایید+IMP 2SG*آلود+IMP 2SG
آلام	V$آلایید+IND PRES 1SG*آلود+IND PRES 1SG
آلای	V$آلایید+IND PRES 2SG#IMP 2SG*آلود+IND PRES 2SG#IMP 2SG
آلاید	V$آلایید+IND PRES 2PL#IND PRES 3SG#IMP 2PL*آلود+IND PRES 2PL#IND PRES 3SG#IMP 2PL
آلایش	V$آلایید+IMP 2SG PRO3SG*آلود+IMP 2SG PRO3SG
آلایم	V$آلایید+IMP 2SG PRO1SG#IND PRES 1SG#IND PRES 1PL*آلود+IMP 2SG PRO1SG#IND PRES 1SG#IND PRES 1PL
آلایند	V$آلایید+IND PRES 3PL*آلود+IND PRES 3PL
آلایندی	V$آلایید+SUB IRR 3PL*آلود+SUB IRR 3PL
آلایی	V$آلایید+SUB IRR 2SG#IND PRES 2SG*آلود+SUB IRR 2SG#IND PRES 2SG
آلاییی	V$آلایید+SUB IRR 2SG*آلود+SUB IRR 2SG
آلفته	V$آلفت+PP
آلود	V$آلود+IND PAST 3SG
آلودت	V$آلود+IND PAST 3SG PRO2SG
آلودست	V$آلود+IND 3SG PERF
آلودستی	V$آلود+IND 2SG PERF2
آلودش	V$آلود+IND PAST 3SG PRO3SG
آلودشان	V$آلود+IND PAST 3SG PRO3PL
آلودم	V$آلود+IND PAST 3SG PRO1SG#IND PAST 1SG
آلودمی	V$آلود+SUB IRRP 1SG
آلودن	V$آلود+INF
