آ	INT$آ+
خوبش	INT$خوب+ PRO3SG
خوبشان	INT$خوب+ PRO3PL
خوبم	INT$خوب+ PRO1SG&ADV$خوب+ COP1SG
خوبند	ADV$خوب+ COP3PL
خوبی	ADV$خوب+ COP2SG*خوبی+
خوبیست	ADV$خوبی+ COP3SG
خوبیم	ADV$خوب+ COP1PL*خوبی+ COP1SG
خوبیی	ADV$خوبی+ COP2SG
خوبی‌ی	ADV$خوبی+ COP2SG
خوش	ADV$خوش+
خوشا	INT$خوشا+
خوشبخت	ADV$خوشبخت+
خوشست	ADV$خوش+ COP3SG
خوشستم	ADV$خوش+ COP1SG
خوشستی	ADV$خوش+ COP2SG
خوشستیم	ADV$خوش+ COP1PL
خوشم	ADV$خوش+ COP1SG
خوشند	ADV$خوش+ COP3PL
خوشی	ADV$خوش+ COP2SG
خوشیم	ADV$خوش+ COP1PL
خوش‌ست	ADV$خوش+ COP3SG
خویش	PRO$خویش+SG
خویشان	PRO$خویش+PL
خویشانت	PRO$خویش+PL PRO2SG
خویشانست	PRO$خویش+PL COP3SG
خویشانش	PRO$خویش+PL PRO3SG
خویشانم	PRO$خویش+PL PRO1SG#PL COP1SG
خویشانمان	PRO$خویش+PL PRO1PL
خویشانند	PRO$خویش+PL COP3PL
خویشانی	PRO$خویش+PL YEH#PL COP2SG
خویشت	PRO$خویش+SG PRO2SG
خویشتان	PRO$خویش+SG PRO2PL
خویشتن	PRO$خویشتن+SG
خویشتنت	PRO$خویشتن+SG PRO2SG
خویشتنست	PRO$خویشتن+SG COP3SG
خویشتنش	PRO$خویشتن+SG PRO3SG
خویشتنم	PRO$خویشتن+SG PRO1SG#SG COP1SG
خویشتنند	PRO$خویشتن+SG COP3PL
خویشتنی	PRO$خویشتن+SG COP2SG#SG YEH
خویشتنیم	PRO$خویشتن+SG YEH COP1SG#SG COP1PL
خویشرا	PRO$خویش+SG POSTP
خویشست	PRO$خویش+SG COP3SG
خویشش	PRO$خویش+SG PRO3SG
خویششان	PRO$خویش+SG PRO3PL
خویشم	PRO$خویش+SG PRO1SG#SG COP1SG
خویشمان	PRO$خویش+SG PRO1PL
خویشند	PRO$خویش+SG COP3PL
خویشی	PRO$خویش+SG COP2SG#SG YEH
خویشید	PRO$خویش+SG COP2PL
خویشیست	PRO$خویش+SG YEH COP3SG
خویشیم	PRO$خویش+SG YEH COP1SG#SG COP1PL
خویش‌ام	PRO$خویش+SG COP1SG
خویش‌اند	PRO$خویش+SG COP3PL
خیرخیر	ADV$خیرخیر+
خیره	ADV$خیره+
خیره‌ام	ADV$خیره+ COP1SG
خیره‌ای	ADV$خیره+ COP2SG
خیره‌ست	ADV$خیره+ COP3SG
خیره‌ی	ADV$خیره+ COP2SG
خیلی	ADV$خیلی+
دات	NUM$ده+PL
دام	INT$دام+
دامت	INT$دام+ PRO2SG
دامش	INT$دام+ PRO3SG
دامشان	INT$دام+ PRO3PL
دامم	INT$دام+ PRO1SG
دامن‌کشان	ADV$دامن‌کشان+
دانسته	ADV$دانسته+
دانسته‌ام	ADV$دانسته+ COP1SG
دانسته‌اند	ADV$دانسته+ COP3PL
دانسته‌ای	ADV$دانسته+ COP2SG
دانسته‌اید	ADV$دانسته+ COP2PL
دانسته‌ایم	ADV$دانسته+ COP1PL
دانسته‌ی	ADV$دانسته+ COP2SG
دانه‌ای	ADV$دانه‌ای+
دانه‌ایست	ADV$دانه‌ای+ COP3SG
دانه‌ایم	ADV$دانه‌ای+ COP1SG
دایره‌وار	ADV$دایره‌وار+
دایما	ADV$دایما+
دایماست	ADV$دایما+ COP3SG
در	P$در+
درآن	PRO$آن+PREP SG
درآوری	ADV$آوری+PREP 
درازا	ADV$درازا+
درازای	ADV$درازا+ COP2SG
دران	NUM$ان+PREP SG
دراند	NUM$اند+PREP SG&PRO$اند+PREP SG
دراندش	NUM$اند+PREP SG PRO3SG&PRO$اند+PREP SG PRO3SG
دراندم	NUM$اند+PREP SG COP1SG#PREP SG PRO1SG&PRO$اند+PREP SG COP1SG#PREP SG PRO1SG
دراندیش	NUM$اندی+PREP SG PRO3SG
دراندیشم	NUM$اندی+PREP SG PRO3SG COP1SG
دراندیشی	NUM$اندی+PREP SG PRO3SG YEH#PREP SG PRO3SG COP2SG
دراندیم	NUM$اندی+PREP SG COP1SG#PREP SG PRO1SG*اند+PREP SG COP1PL#PREP SG YEH COP1SG&PRO$اند+PREP SG COP1PL#PREP SG YEH COP1SG
درانم	NUM$ان+PREP SG COP1SG#PREP SG PRO1SG
درانند	NUM$ان+PREP SG COP3PL
درانی	NUM$ان+PREP SG COP2SG#PREP SG YEH
درانید	NUM$ان+PREP SG COP2PL
درانیستی	NUM$ان+PREP SG YEH COP2SG
درانیم	NUM$ان+PREP SG COP1PL#PREP SG YEH COP1SG
دراو	PRO$او+PREP SG
دراین	PRO$این+PREP SG
درباری	ADV$باری+PREP 
درباز	ADV$باز+PREP 
دربازم	ADV$باز+PREP  COP1SG
دربازند	ADV$باز+PREP  COP3PL
دربازی	ADV$باز+PREP  COP2SG
دربازیم	ADV$باز+PREP  COP1PL
دربد	ADV$بد+PREP 
دربدر	ADV$دربدر+
دربدرم	ADV$دربدر+ COP1SG
دربدری	ADV$دربدر+ COP2SG
دربرتری	ADV$برتر+PREP  COP2SG
دربست	ADV$دربست+
دربستست	ADV$دربست+ COP3SG
دربستم	ADV$دربست+ COP1SG
دربستند	ADV$دربست+ COP3PL
دربسته	ADV$دربسته+
دربسته‌ام	ADV$دربسته+ COP1SG
دربسته‌ای	ADV$دربسته+ COP2SG
دربسته‌ایم	ADV$دربسته+ COP1PL
دربستی	ADV$دربست+ COP2SG
دربستیم	ADV$دربست+ COP1PL
دربه	ADV$به+PREP 
دربیش	ADV$بیش+PREP 
درت	P$در+ PRO2SG
درتش	PRO$تش+PREP SG
درتو	PRO$تو+PREP SG
درحال	ADV$درحال+*حال+PREP 
درخزیده	ADV$خزیده+PREP 
درخویش	PRO$خویش+PREP SG
دردا	INT$دردا+
دردانه‌ای	ADV$دانه‌ای+PREP 
دردستیست	ADV$دستی+PREP  COP3SG
درده	NUM$ده+PREP SG
دردهم	NUM$ده+PREP SG PRO1SG
درده‌ام	NUM$ده+PREP SG COP1SG#PREP SG PRO1SG
درده‌ای	NUM$ده+PREP SG COP2SG
دردو	NUM$دو+PREP SG
دردی	ADV$دی+PREP 
دردیست	ADV$دی+PREP  COP3SG
دردیستی	ADV$دی+PREP  COP2SG
دردیم	ADV$دی+PREP  COP1SG
دردیی	ADV$دی+PREP  COP2SG
دردی‌ست	ADV$دی+PREP  COP3SG
درست	ADV$درست+
درستست	ADV$درست+ COP3SG
درستم	ADV$درست+ COP1SG
درستند	ADV$درست+ COP3PL
درستی	ADV$درست+ COP2SG*درستی+
درست‌ست	ADV$درست+ COP3SG
درسه	NUM$سه+PREP SG
درسی	NUM$سی+PREP SG
درش	P$در+ PRO3SG
درشان	P$در+ PRO3PL
درشب	ADV$شب+PREP 
درصد	NUM$صد+PREP SG
درعجب	ADV$عجب+PREP 
درلا	NUM$لا+PREP SG
درلک	NUM$لک+PREP SG
درم	P$در+ PRO1SG
درما	PRO$ما+PREP SG
درماتم	PRO$ما+PREP SG PRO2SG COP1SG
درمان	P$در+ PRO1PL
درماند	PRO$ما+PREP SG COP3PL
درمن	PRO$من+PREP SG
درمنش	PRO$من+PREP SG PRO3SG
درنه	NUM$نه+PREP SG
درنهان	ADV$نهان+PREP 
درنهم	NUM$نه+PREP SG PRO1SG
درنکند	ADV$نک+PREP  COP3PL
درنگ	INT$درنگ+
درنگت	INT$درنگ+ PRO2SG
درنگش	INT$درنگ+ PRO3SG
درنگم	INT$درنگ+ PRO1SG
درهم	ADV$درهم+
درهمست	ADV$درهم+ COP3SG
درهمم	ADV$درهم+ COP1SG
درهمند	ADV$درهم+ COP3PL
درهمی	ADV$درهم+ COP2SG
درهم‌اند	ADV$درهم+ COP3PL
دروغی	ADV$دروغی+
درویشانه	ADV$درویشانه+
درویشانه‌ی	ADV$درویشانه+ COP2SG
درپاک	ADV$پاک+PREP 
درپرست	ADV$پر+PREP  COP3SG
درپرم	ADV$پر+PREP  COP1SG
درپرید	ADV$پر+PREP  COP2PL
درپوشیده	ADV$پوشیده+PREP 
درپیش	ADV$پیش+PREP 
درپیوسته‌ام	ADV$پیوسته+PREP  COP1SG
درچل	NUM$چل+PREP SG
درچنان	ADV$چنان+PREP 
درچنین	PRO$چنین+PREP SG&ADV$چنین+PREP 
درچه	PRO$چه+PREP SG&ADV$چه+PREP 
درچهار	NUM$چهار+PREP SG
درکات	PRO$که+PREP PL
درکس	PRO$کس+PREP SG
درکست	PRO$کس+PREP SG PRO2SG
درکستی	PRO$کس+PREP SG PRO2SG COP2SG#PREP SG PRO2SG YEH
درکشیده	ADV$کشیده+PREP 
درکشیده‌ام	ADV$کشیده+PREP  COP1SG
درکشیده‌ای	ADV$کشیده+PREP  COP2SG
درکلام	ADV$کلا+PREP  COP1SG
درکم	ADV$کم+PREP 
درکند	ADV$کند+PREP 
درکه	PRO$که+PREP SG
درکه‌یی	PRO$که+PREP SG YEH
درکی	PRO$کی+PREP SG&ADV$کی+PREP 
درکیست	PRO$کی+PREP SG COP3SG&ADV$کی+PREP  COP3SG
درکیش	PRO$کی+PREP SG PRO3SG
درگاه	ADV$گاه+PREP 
درگذرای	ADV$گذرا+PREP  COP2SG
درگران	ADV$گران+PREP 
درگشاد	ADV$گشاد+PREP 
درگشادند	ADV$گشاد+PREP  COP3PL
درگشاده	ADV$گشاده+PREP 
درگهی	ADV$گهی+PREP 
درگهیست	ADV$گهی+PREP  COP3SG
درگهیم	ADV$گهی+PREP  COP1SG
دریغ	INT$دریغ+
دریغا	INT$دریغا+
دریغت	INT$دریغ+ PRO2SG
دریغش	INT$دریغ+ PRO3SG
دریغم	INT$دریغ+ PRO1SG
دزدانه	ADV$دزدانه+
دزدکی	ADV$دزدکی+
دستی	ADV$دستی+
دستیست	ADV$دستی+ COP3SG
دستیم	ADV$دستی+ COP1SG
دستیی	ADV$دستی+ COP2SG
دستی‌ست	ADV$دستی+ COP3SG
دفعه	ADV$دفعه+
دلبرانه	ADV$دلبرانه+
دلگران	ADV$دلگران+
دلگرانی	ADV$دلگران+ COP2SG
دلیرانه	ADV$دلیرانه+
دل‌نگران	ADV$دل‌نگران+
دمادم	ADV$دمادم+
دمادمست	ADV$دمادم+ COP3SG
دمادمند	ADV$دمادم+ COP3PL
دمگیر	ADV$دمگیر+
دم‌بدم	ADV$دم‌بدم+
ده	NUM$ده+SG
دهت	NUM$ده+SG PRO2SG
دهرا	NUM$ده+SG POSTP&ADV$دهرا+
دهش	NUM$ده+SG PRO3SG
دهشت‌زده	ADV$دهشت‌زده+
دهم	NUM$ده+SG PRO1SG
ده‌اند	NUM$ده+SG COP3PL
ده‌ای	NUM$ده+SG COP2SG
ده‌مان	NUM$ده+SG PRO1PL
ده‌های	NUM$ده+PL EZ#PL COP2SG
ده‌ی	NUM$ده+SG COP2SG#SG EZ
دو	NUM$دو+SG
دوئی	NUM$دو+SG YEH
دوازده	NUM$دوازده+SG
دوازدهم	NUM$دوازده+SG PRO1SG
دواسبه	ADV$دواسبه+
دوان	NUM$دو+PL&ADV$دوان+
دوانست	NUM$دو+PL COP3SG&ADV$دوان+ COP3SG
دوانش	NUM$دو+PL PRO3SG
دوانشان	NUM$دو+PL PRO3PL
دوانم	NUM$دو+PL PRO1SG#PL COP1SG&ADV$دوان+ COP1SG
دوانند	NUM$دو+PL COP3PL&ADV$دوان+ COP3PL
دوانی	NUM$دو+PL YEH#PL COP2SG&ADV$دوان+ COP2SG
دوانید	NUM$دو+PL COP2PL&ADV$دوان+ COP2PL
دوانیست	NUM$دو+PL YEH COP3SG
دوانیم	NUM$دو+PL COP1PL#PL YEH COP1SG&ADV$دوان+ COP1PL
دوباره	ADV$دوباره+
دوباره‌ام	ADV$دوباره+ COP1SG
دوباره‌ست	ADV$دوباره+ COP3SG
دوت	NUM$دو+SG PRO2SG
دوتایی	ADV$دوتایی+
دودستی	ADV$دودستی+
دور	ADV$دور+
دورا	NUM$دو+SG POSTP
دورادور	ADV$دورادور+
دورست	ADV$دور+ COP3SG
دورم	ADV$دور+ COP1SG
دورند	ADV$دور+ COP3PL
دوری	ADV$دور+ COP2SG
دورید	ADV$دور+ COP2PL
دوریم	ADV$دور+ COP1PL
دوست	NUM$دو+SG COP3SG
دوستانه	ADV$دوستانه+
دوستانه‌ست	ADV$دوستانه+ COP3SG
دوستم	NUM$دو+SG COP1SG
دوستند	NUM$دو+SG COP3PL
دوستی	NUM$دو+SG COP2SG
دوستیم	NUM$دو+SG COP1PL
دوش	NUM$دو+SG PRO3SG&ADV$دوش+
دوشان	NUM$دو+SG PRO3PL
دوشست	NUM$دو+SG PRO3SG COP3SG&ADV$دوش+ COP3SG
دوشم	NUM$دو+SG PRO3SG COP1SG&ADV$دوش+ COP1SG
دوشند	NUM$دو+SG PRO3SG COP3PL&ADV$دوش+ COP3PL
دوشی	NUM$دو+SG PRO3SG COP2SG#SG PRO3SG YEH&ADV$دوش+ COP2SG
دوشیم	NUM$دو+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL&ADV$دوش+ COP1PL
دوش‌ام	NUM$دو+SG PRO3SG COP1SG&ADV$دوش+ COP1SG
دوم	NUM$دو+SG PRO1SG#SG COP1SG*دوم+SG&ADV$دوم+
دومش	NUM$دوم+SG PRO3SG
دومی	NUM$دو+SG PRO1SG COP2SG#SG PRO1SG YEH*دوم+SG COP2SG#SG YEH&ADV$دوم+ COP2SG
دومین	NUM$دومین+SG
دوند	NUM$دو+SG COP3PL
دوچندان	ADV$دوچندان+
دوی	NUM$دو+SG COP2SG#SG EZ
دویت	NUM$دو+SG PRO2SG
دوید	NUM$دو+SG COP2PL
دویست	NUM$دویست+SG
دویستی	NUM$دویست+SG COP2SG#SG YEH
دویم	NUM$دو+SG PRO1SG#SG COP1PL
دویی	NUM$دو+SG YEH
دوییی	NUM$دو+SG YEH COP2SG
دگر	PRO$دگر+SG
دگران	PRO$دگر+PL
دگرانت	PRO$دگر+PL PRO2SG
دگرانست	PRO$دگر+PL COP3SG
دگرانش	PRO$دگر+PL PRO3SG
دگرانم	PRO$دگر+PL PRO1SG#PL COP1SG
دگرانند	PRO$دگر+PL COP3PL
دگرانی	PRO$دگر+PL YEH#PL COP2SG
دگرت	PRO$دگر+SG PRO2SG
دگررا	PRO$دگر+SG POSTP
دگرست	PRO$دگر+SG COP3SG
دگرستم	PRO$دگر+SG COP1SG
دگرش	PRO$دگر+SG PRO3SG
دگرشان	PRO$دگر+SG PRO3PL
دگرم	PRO$دگر+SG PRO1SG#SG COP1SG
دگرمان	PRO$دگر+SG PRO1PL
دگرند	PRO$دگر+SG COP3PL
دگرها	PRO$دگر+PL
دگرهاست	PRO$دگر+PL COP3SG
دگری	PRO$دگر+SG COP2SG#SG YEH
دگریست	PRO$دگر+SG YEH COP3SG
دگریم	PRO$دگر+SG YEH COP1SG#SG COP1PL
دی	ADV$دی+
دیر	ADV$دیر+
دیرباز	ADV$دیرباز+
دیرست	ADV$دیر+ COP3SG
دیرم	ADV$دیر+ COP1SG
دیرند	ADV$دیر+ COP3PL
دیروز	ADV$دیروز+
دیروزی	ADV$دیروز+ COP2SG
دیرگاه	ADV$دیرگاه+
دیری	ADV$دیر+ COP2SG*دیری+
دیریست	ADV$دیری+ COP3SG
دیریم	ADV$دیر+ COP1PL*دیری+ COP1SG
دیست	ADV$دی+ COP3SG
دیشب	ADV$دیشب+
دیشبم	ADV$دیشب+ COP1SG
دیم	ADV$دی+ COP1SG
دینا	ADV$دینا+
دیند	ADV$دی+ COP3PL
دیوانه‌وار	ADV$دیوانه‌وار+
دیگر	ADV$دیگر+
دیگرست	ADV$دیگر+ COP3SG
دیگرستم	ADV$دیگر+ COP1SG
دیگرم	ADV$دیگر+ COP1SG
دیگرند	ADV$دیگر+ COP3PL
دیگرگون	ADV$دیگرگون+
دیگری	ADV$دیگر+ COP2SG
دیگرید	ADV$دیگر+ COP2PL
دیگریم	ADV$دیگر+ COP1PL
دییم	ADV$دی+ COP1PL
رابع	NUM$رابع+SG
رابعا	ADV$رابعا+
رابعش	NUM$رابع+SG PRO3SG
راحت	ADV$راحت+
راحتست	ADV$راحت+ COP3SG
راحتم	ADV$راحت+ COP1SG
راحتند	ADV$راحت+ COP3PL
راحتی	ADV$راحت+ COP2SG
راست	ADV$راست+
راستست	ADV$راست+ COP3SG
راستم	ADV$راست+ COP1SG
راستند	ADV$راست+ COP3PL
راستی	INT$راستی+&ADV$راست+ COP2SG*راستی+
راستیت	INT$راستی+ PRO2SG
راستیست	ADV$راستی+ COP3SG
راستیش	INT$راستی+ PRO3SG
راستیشان	INT$راستی+ PRO3PL
راستیم	INT$راستی+ PRO1SG&ADV$راست+ COP1PL*راستی+ COP1SG
راستیی	ADV$راستی+ COP2SG
راستی‌ام	ADV$راستی+ COP1SG
راستی‌تان	INT$راستی+ PRO2PL
راستی‌ش	INT$راستی+ PRO3SG
رایگان	ADV$رایگان+
رایگانست	ADV$رایگان+ COP3SG
رایگانم	ADV$رایگان+ COP1SG
رایگانی	ADV$رایگان+ COP2SG
ربما	ADV$ربما+
ربی	INT$ربی+
ربیم	INT$ربی+ PRO1SG
رستمانه	ADV$رستمانه+
رسمی	ADV$رسمی+
رسمیست	ADV$رسمی+ COP3SG
رسمی‌ست	ADV$رسمی+ COP3SG
رغما	ADV$رغما+
رفته‌رفته	ADV$رفته‌رفته+
رمارم	ADV$رمارم+
رندانه	ADV$رندانه+
رندانه‌ای	ADV$رندانه+ COP2SG
روارو	ADV$روارو+
روان	ADV$روان+
روانست	ADV$روان+ COP3SG
روانستی	ADV$روان+ COP2SG
روانم	ADV$روان+ COP1SG
روانند	ADV$روان+ COP3PL
روانی	ADV$روان+ COP2SG
روانید	ADV$روان+ COP2PL
روانیم	ADV$روان+ COP1PL
روایی	ADV$روایی+
روباز	ADV$روباز+
روبرو	ADV$روبرو+
روبروست	ADV$روبرو+ COP3SG
روبروی	ADV$روبرو+ COP2SG
روحا	ADV$روحا+
روراست	ADV$روراست+
روزی	ADV$روزی+
روزیست	ADV$روزی+ COP3SG
روزیم	ADV$روزی+ COP1SG
روزیی	ADV$روزی+ COP2SG
روزی‌اند	ADV$روزی+ COP3PL
روزی‌ست	ADV$روزی+ COP3SG
رویارو	ADV$رویارو+
رویاروی	ADV$رویاروی+*رویارو+ COP2SG
رک	ADV$رک+
ریزریز	ADV$ریزریز+
ز	P$ز+
زآرام	ADV$آرام+PREP 
زآن	PRO$آن+PREP SG
زآنجا	ADV$آنجا+PREP 
زآنش	PRO$آن+PREP SG PRO3SG
زآنها	PRO$آن+PREP PL*آنها+PREP SG
زآنک	PRO$آنک+PREP SG
زآنکه	PRO$آنکه+PREP SG*آن+PREP SG CONJ
زآنگونه	ADV$آنگونه+PREP 
زابتدا	ADV$ابتدا+PREP 
زاستر	ADV$زاستر+
زالان	ADV$الان+PREP 
زان	NUM$ان+PREP SG
زانان	NUM$ان+PREP PL
زانت	NUM$ان+PREP SG PRO2SG
زاندان	NUM$اند+PREP PL&PRO$اند+PREP PL
زاندم	NUM$اند+PREP SG COP1SG#PREP SG PRO1SG&PRO$اند+PREP SG COP1SG#PREP SG PRO1SG
زانست	NUM$ان+PREP SG COP3SG
زانش	NUM$ان+PREP SG PRO3SG
زانشان	NUM$ان+PREP SG PRO3PL
زانقدم	ADV$انقد+PREP  COP1SG
زانم	NUM$ان+PREP SG COP1SG#PREP SG PRO1SG
زانند	NUM$ان+PREP SG COP3PL
زانها	NUM$ان+PREP PL
زانکه	NUM$ان+PREP SG CONJ
زانی	NUM$ان+PREP SG COP2SG#PREP SG YEH
زان‌ها	NUM$ان+PREP PL
زان‌هاستی	NUM$ان+PREP PL COP2SG
زاو	PRO$او+PREP SG
زاوش	PRO$او+PREP SG PRO3SG
زاول	ADV$اول+PREP 
زاولی	NUM$اولی+PREP SG&ADV$اول+PREP  COP2SG
زاویهای	PRO$اوی+PREP PL EZ#PREP PL COP2SG
زایدر	ADV$ایدر+PREP 
زایشان	PRO$ایشان+PREP SG
زاین	PRO$این+PREP SG
زاینست	PRO$این+PREP SG COP3SG
زایچ	PRO$ایچ+PREP SG
زبانی	ADV$زبانی+
زبانیست	ADV$زبانی+ COP3SG
زبانیم	ADV$زبانی+ COP1SG
زبانیند	ADV$زبانی+ COP3PL
زبانیی	ADV$زبانی+ COP2SG
زبانی‌ست	ADV$زبانی+ COP3SG
زبد	ADV$بد+PREP 
زبرتر	ADV$برتر+PREP 
زبرترست	ADV$برتر+PREP  COP3SG
زبس	ADV$بس+PREP 
زبعد	ADV$بعد+PREP 
زبه	ADV$به+PREP 
زبیرون	ADV$بیرون+PREP 
زتنگ	ADV$تنگ+PREP 
زتو	PRO$تو+PREP SG
زتیزی	ADV$تیز+PREP  COP2SG
زجمله‌ی	PRO$جمله+PREP SG EZ#PREP SG COP2SG
زحال	ADV$حال+PREP 
زخوب	ADV$خوب+PREP 
زخوبی	ADV$خوب+PREP  COP2SG*خوبی+PREP 
زخوشی	ADV$خوش+PREP  COP2SG
زخویش	PRO$خویش+PREP SG
زخویشان	PRO$خویش+PREP PL
زخویشتن	PRO$خویشتن+PREP SG
زدستی	ADV$دستی+PREP 
زدستیم	ADV$دستی+PREP  COP1SG
زده	NUM$ده+PREP SG
زده‌ئی	NUM$ده+PREP SG YEH
زده‌است	NUM$ده+PREP SG COP3SG
زده‌ام	NUM$ده+PREP SG COP1SG#PREP SG PRO1SG
زده‌اند	NUM$ده+PREP SG COP3PL
زده‌ای	NUM$ده+PREP SG COP2SG
زده‌ایم	NUM$ده+PREP SG COP1PL
زده‌ست	NUM$ده+PREP SG COP3SG
زده‌ستی	NUM$ده+PREP SG COP2SG
زده‌ی	NUM$ده+PREP SG EZ#PREP SG COP2SG
زدو	NUM$دو+PREP SG
زدوانیم	NUM$دو+PREP PL COP1PL#PREP PL YEH COP1SG&ADV$دوان+PREP  COP1PL
زدور	ADV$دور+PREP 
زدوریم	ADV$دور+PREP  COP1PL
زدوست	NUM$دو+PREP SG COP3SG
زدوش	NUM$دو+PREP SG PRO3SG&ADV$دوش+PREP 
زدگان	NUM$ده+PREP PL
زدگانیم	NUM$ده+PREP PL COP1PL#PREP PL YEH COP1SG
زدی	ADV$دی+PREP 
زدیم	ADV$دی+PREP  COP1SG
زدیگر	ADV$دیگر+PREP 
زراست	ADV$راست+PREP 
زروان	ADV$روان+PREP 
زرک	ADV$رک+PREP 
زرکند	ADV$رک+PREP  COP3PL
زسهم	NUM$سه+PREP SG PRO1SG
زسی	NUM$سی+PREP SG
زسیمای	ADV$سیما+PREP  COP2SG
زش	P$ز+ PRO3SG
زشب	ADV$شب+PREP 
زشیرین	ADV$شیرین+PREP 
زصد	NUM$صد+PREP SG
زعامه	PRO$عامه+PREP SG
زلا	NUM$لا+PREP SG
زلات	NUM$لا+PREP SG PRO2SG
زلاتی	NUM$لا+PREP SG PRO2SG COP2SG#PREP SG PRO2SG YEH&ADV$لاتی+PREP 
زلای	NUM$لا+PREP SG EZ#PREP SG COP2SG
زلفا	ADV$لفا+PREP 
زم	P$ز+ PRO1SG
زما	PRO$ما+PREP SG
زمات	PRO$ما+PREP SG PRO2SG
زمام	PRO$ما+PREP SG COP1SG#PREP SG PRO1SG
زمامست	PRO$ما+PREP SG PRO1SG COP3SG
زمامم	PRO$ما+PREP SG PRO1SG COP1SG
زمان	P$ز+ PRO1PL
زمردم	ADV$مردم+PREP 
زمردوار	ADV$مردوار+PREP 
زمستان	ADV$زمستان+
زمستانست	ADV$زمستان+ COP3SG
زمستانم	ADV$زمستان+ COP1SG
زمستانی	ADV$زمستان+ COP2SG
زمن	PRO$من+PREP SG
زمنست	PRO$من+PREP SG COP3SG
زمنم	PRO$من+PREP SG COP1SG#PREP SG PRO1SG
زمنی	PRO$من+PREP SG COP2SG#PREP SG YEH
زمنیم	PRO$من+PREP SG COP1PL#PREP SG YEH COP1SG
زنانه	ADV$زنانه+
زنانه‌ست	ADV$زنانه+ COP3SG
زناگه	ADV$ناگه+PREP 
زنخست	NUM$نخست+PREP SG&ADV$نخست+PREP 
زنزدیک	ADV$نزدیک+PREP 
زنه	NUM$نه+PREP SG
زنهار	INT$زنهار+
زنهارت	INT$زنهار+ PRO2SG
زنهارش	INT$زنهار+ PRO3SG
زنهارشان	INT$زنهار+ PRO3PL
زنهارم	INT$زنهار+ PRO1SG
زنه‌ی	NUM$نه+PREP SG EZ#PREP SG COP2SG
زنک	ADV$نک+PREP 
زنکی	ADV$نک+PREP  COP2SG
زنگان	NUM$نه+PREP PL
زنیک	ADV$نیک+PREP 
زنیکی	ADV$نیک+PREP  COP2SG
زهازه	INT$زهازه+
زود	ADV$زود+
زودست	ADV$زود+ COP3SG
زودم	ADV$زود+ COP1SG
زودی	ADV$زود+ COP2SG
زپس	ADV$پس+PREP 
زپستی	ADV$پست+PREP  COP2SG
زپنجه‌ی	NUM$پنجه+PREP SG EZ#PREP SG COP2SG
زپیش	ADV$پیش+PREP 
زچرا	ADV$چرا+PREP 
زچنان	ADV$چنان+PREP 
زچه	PRO$چه+PREP SG&ADV$چه+PREP 
زچهل	NUM$چهل+PREP SG
زچیست	PRO$چیست+PREP SG*چی+PREP SG COP3SG
زکات	PRO$که+PREP PL
زکاتت	PRO$که+PREP PL PRO2SG
زکاتست	PRO$که+PREP PL COP3SG
زکاتش	PRO$که+PREP PL PRO3SG
زکاتم	PRO$که+PREP PL COP1SG#PREP PL PRO1SG
زکاتی	PRO$که+PREP PL YEH#PREP PL COP2SG
زکاتیرا	PRO$که+PREP PL YEH POSTP
زکس	PRO$کس+PREP SG
زکسی	PRO$کس+PREP SG COP2SG#PREP SG YEH
زکلش	PRO$کل+PREP SG PRO3SG
زکم	ADV$کم+PREP 
زکمند	ADV$کم+PREP  COP3PL
زکه	PRO$که+PREP SG
زکی	INT$زکی+&PRO$کی+PREP SG&ADV$کی+PREP 
زکیش	INT$زکی+ PRO3SG&PRO$کی+PREP SG PRO3SG
زگاه	ADV$گاه+PREP 
زگرمی	ADV$گرم+PREP  COP2SG
زیاد	ADV$زیاد+
زیادست	ADV$زیاد+ COP3SG
زیادم	ADV$زیاد+ COP1SG
زیاده	ADV$زیاده+
زیاده‌ام	ADV$زیاده+ COP1SG
زیاده‌ای	ADV$زیاده+ COP2SG
زیادی	ADV$زیاد+ COP2SG
سابع	NUM$سابع+SG
سابعا	ADV$سابعا+
سابق	ADV$سابق+
سابقا	ADV$سابقا+
سابقست	ADV$سابق+ COP3SG
سابقم	ADV$سابق+ COP1SG
سابقی	ADV$سابق+ COP2SG
سابقیم	ADV$سابق+ COP1PL
ساحرانه	ADV$ساحرانه+
سادس	NUM$سادس+SG
سادسا	ADV$سادسا+
سادست	NUM$سادس+SG PRO2SG
سادستی	NUM$سادس+SG PRO2SG COP2SG#SG PRO2SG YEH
سادسی	NUM$سادس+SG COP2SG#SG YEH
سالم	ADV$سالم+
سالمند	ADV$سالم+ COP3PL
سالمی	ADV$سالم+ COP2SG
سالوسانه	ADV$سالوسانه+
ساکت	ADV$ساکت+
ساکتست	ADV$ساکت+ COP3SG
ساکتم	ADV$ساکت+ COP1SG
سایر	PRO$سایر+SG
سایران	PRO$سایر+PL
سایرست	PRO$سایر+SG COP3SG
سایری	PRO$سایر+SG COP2SG#SG YEH
سبای	ADV$سبای+
سبحان‌الله	INT$سبحان‌الله+
سبع	NUM$سبع+SG
سبعی	NUM$سبع+SG COP2SG#SG YEH
سبک	ADV$سبک+
سبکست	ADV$سبک+ COP3SG
سبکم	ADV$سبک+ COP1SG
سبکی	ADV$سبک+ COP2SG
سبیلی	ADV$سبیلی+
