آ	INT$آ+
اندیشید	NUM$اندی+SG PRO3SG COP2PL
اندیشیست	NUM$اندی+SG PRO3SG YEH COP3SG
اندیشیم	NUM$اندی+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL
اندیش‌ست	NUM$اندی+SG PRO3SG COP3SG
انست	NUM$ان+SG COP3SG
انشی	NUM$ان+SG PRO3SG COP2SG#SG PRO3SG YEH
انند	NUM$ان+SG COP3PL
انها	NUM$ان+PL
انکه	NUM$ان+SG CONJ
انی	NUM$ان+SG COP2SG#SG YEH
اه	INT$اه+
اهم	INT$اه+ PRO1SG
او	INT$او+&PRO$او+SG
اوئی	PRO$او+SG YEH
اوئیم	PRO$او+SG YEH COP1SG
اوان	PRO$او+PL
اوانی	PRO$او+PL YEH#PL COP2SG
اوانی‌ست	PRO$او+PL YEH COP3SG
اوت	INT$او+ PRO2SG&PRO$او+SG PRO2SG
اوتان	INT$او+ PRO2PL&PRO$او+SG PRO2PL
اوتی	PRO$او+SG PRO2SG COP2SG#SG PRO2SG YEH
اورا	PRO$او+SG POSTP
اوست	PRO$او+SG COP3SG
اوستی	PRO$او+SG COP2SG
اوش	INT$او+ PRO3SG&PRO$او+SG PRO3SG
اوشان	INT$او+ PRO3PL&PRO$اوشان+SG*او+SG PRO3PL
اوشانی	PRO$اوشان+SG COP2SG#SG YEH*او+SG PRO3PL YEH#SG PRO3PL COP2SG
اول	ADV$اول+
اولا	ADV$اولا+
اولاست	ADV$اولا+ COP3SG
اولست	ADV$اول+ COP3SG
اولم	ADV$اول+ COP1SG
اولی	NUM$اولی+SG&ADV$اول+ COP2SG
اولیان	NUM$اولی+PL
اولیت	NUM$اولی+SG PRO2SG
اولیست	NUM$اولی+SG COP3SG
اولیم	NUM$اولی+SG PRO1SG#SG COP1SG&ADV$اول+ COP1PL
اولی‌ست	NUM$اولی+SG COP3SG
اوم	INT$او+ PRO1SG&PRO$او+SG PRO1SG#SG COP1SG
اومان	INT$او+ PRO1PL&PRO$او+SG PRO1PL
اومی	PRO$او+SG PRO1SG COP2SG#SG PRO1SG YEH
اومید	PRO$او+SG PRO1SG COP2PL
اوه	INT$اوه+
اوها	PRO$او+PL
اوهام	PRO$او+PL PRO1SG#PL COP1SG
اوهامی	PRO$او+PL PRO1SG YEH#PL PRO1SG COP2SG
اوی	PRO$او+SG COP2SG#SG EZ*اوی+SG
اویان	PRO$اوی+PL
اویت	INT$او+ PRO2SG&PRO$او+SG PRO2SG*اوی+SG PRO2SG
اویست	PRO$اوی+SG COP3SG
اویستی	PRO$اوی+SG COP2SG
اویش	INT$او+ PRO3SG&PRO$او+SG PRO3SG*اوی+SG PRO3SG
اویم	INT$او+ PRO1SG&PRO$او+SG PRO1SG#SG COP1PL*اوی+SG PRO1SG#SG COP1SG
اویند	PRO$اوی+SG COP3PL
اویی	PRO$او+SG YEH*اوی+SG COP2SG#SG EZ
اویید	PRO$اوی+SG COP2PL
اوییست	PRO$او+SG YEH COP3SG
اوییم	PRO$او+SG YEH COP1SG*اوی+SG PRO1SG#SG COP1PL
اوی‌ام	PRO$اوی+SG COP1SG
اکنون	ADV$اکنون+
اکنونست	ADV$اکنون+ COP3SG
اکنونم	ADV$اکنون+ COP1SG
اکنونی	ADV$اکنون+ COP2SG
ای	INT$ای+
ایا	INT$ایا+
ایات	INT$ایا+ PRO2SG
ایام	INT$ایا+ PRO1SG
ایامان	INT$ایا+ PRO1PL
ایت	INT$ای+ PRO2SG
ایدر	ADV$ایدر+
ایدرست	ADV$ایدر+ COP3SG
ایدرند	ADV$ایدر+ COP3PL
ایدری	ADV$ایدر+ COP2SG
ایدریم	ADV$ایدر+ COP1PL
ایدون	ADV$ایدون+
ایدونی	ADV$ایدون+ COP2SG
ایستاده	ADV$ایستاده+
ایستاده‌ام	ADV$ایستاده+ COP1SG
ایستاده‌ای	ADV$ایستاده+ COP2SG
ایستاده‌ایم	ADV$ایستاده+ COP1PL
ایستاده‌ست	ADV$ایستاده+ COP3SG
ایش	INT$ای+ PRO3SG*ایش+
ایشان	INT$ای+ PRO3PL&PRO$ایشان+SG
ایشانت	PRO$ایشان+SG PRO2SG
ایشانست	PRO$ایشان+SG COP3SG
ایشانش	PRO$ایشان+SG PRO3SG
ایشانم	PRO$ایشان+SG PRO1SG#SG COP1SG
ایشانند	PRO$ایشان+SG COP3PL
ایشانی	PRO$ایشان+SG COP2SG#SG YEH
ایضا	ADV$ایضا+
ایم	INT$ای+ PRO1SG
ایمان	INT$ای+ PRO1PL
ایمه	PRO$ایمه+SG&ADV$ایمه+
این	PRO$این+SG
اینان	PRO$اینان+SG*این+PL
اینانست	PRO$اینان+SG COP3SG*این+PL COP3SG
اینانند	PRO$اینان+SG COP3PL*این+PL COP3PL
اینت	INT$اینت+&PRO$این+SG PRO2SG
اینجا	ADV$اینجا+
اینجاست	ADV$اینجا+ COP3SG
اینجاستی	ADV$اینجا+ COP2SG
اینجام	ADV$اینجا+ COP1SG
اینجانب	PRO$اینجانب+SG
اینجای	ADV$اینجا+ COP2SG
اینجور	PRO$اینجور+SG&ADV$اینجور+
اینرا	PRO$این+SG POSTP
اینسان	ADV$اینسان+
اینست	PRO$این+SG COP3SG
اینش	PRO$این+SG PRO3SG
اینطور	ADV$اینطور+
اینقدر	ADV$اینقدر+
اینم	PRO$این+SG PRO1SG#SG COP1SG
اینند	NUM$اینند+SG&PRO$این+SG COP3PL
اینها	PRO$اینها+SG*این+PL
اینهات	PRO$اینها+SG PRO2SG*این+PL PRO2SG
اینهاست	PRO$اینها+SG COP3SG*این+PL COP3SG
اینهاستی	PRO$اینها+SG COP2SG*این+PL COP2SG
اینهام	PRO$اینها+SG PRO1SG#SG COP1SG*این+PL PRO1SG#PL COP1SG
اینهمه	ADV$اینهمه+
اینهمه‌ی	ADV$اینهمه+ COP2SG
اینچنین	ADV$اینچنین+
اینچنینم	ADV$اینچنین+ COP1SG
اینچنینی	ADV$اینچنین+ COP2SG
اینک	ADV$اینک+
اینکم	ADV$اینک+ COP1SG
اینکه	PRO$این+SG CONJ
اینگونه	ADV$اینگونه+
اینی	PRO$این+SG COP2SG#SG YEH
اینیم	PRO$این+SG YEH COP1SG#SG COP1PL
این‌ست	PRO$این+SG COP3SG
این‌ستم	PRO$این+SG COP1SG
این‌ها	PRO$این+PL
این‌ی	PRO$این+SG COP2SG
ایها	INT$ایها+
ایهاالناس	INT$ایهاالناس+
ایوار	ADV$ایوار+
ایچ	PRO$ایچ+SG
ایچی	PRO$ایچ+SG COP2SG#SG YEH
ب	P$ب+
بااحتیاط	ADV$بااحتیاط+
باادب	ADV$باادب+
باانصاف	ADV$باانصاف+
بابتداء	ADV$ابتداء+PREP 
باتفاق	ADV$باتفاق+
باجماع	ADV$باجماع+
باجمالی	ADV$باجمال+ COP2SG*اجمالی+PREP 
باحد	PRO$احد+PREP SG
بارها	ADV$بارها+
بارهای	ADV$بارها+ COP2SG
بارک‌الله	INT$بارک‌الله+
باری	ADV$باری+
باریست	ADV$باری+ COP3SG
باریم	ADV$باری+ COP1SG
باز	ADV$باز+
بازان	PRO$بازان+SG
